Voltage A0 A1 A2 A3 A4 A5 A6 A7
-3.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-3.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-3.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-2.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-2.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-2.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-2.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-2.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-2.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-2.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-2.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-2.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-2.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-1.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-1.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-1.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-1.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-1.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-1.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-1.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-1.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-1.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-1.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-0.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-0.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-0.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-0.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-0.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-0.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-0.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-0.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-0.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-0.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
0.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
0.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
0.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
0.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
0.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
0.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
0.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
0.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
0.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
1.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
1.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
1.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
1.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
1.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
1.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
1.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
1.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
1.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
1.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
2.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
2.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
2.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
2.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
2.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
2.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
2.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
2.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
2.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
2.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
3.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
3.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
3.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
3.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
3.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
3.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
3.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
3.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
3.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
3.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
4.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
4.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
4.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
4.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
4.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
4.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
4.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
4.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
4.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
4.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
5.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
5.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
5.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
5.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
5.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
5.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
5.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
5.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
5.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
